id,method,public_path,resolver_path,source,disposition,historical_target,direct_target,candidate_note
R001,POST,/admit/admin/action/hard-drive-test,/api/admin/hard-drive-test/start,src/bands/caduceus.rs,translation-debt,/api/admin/hard-drive-test/start,,candidate-only: current storage/disk family (/api/v1/storage/disk/...) is plausible; no target selected
R002,POST,/admit/admin/action/restart,/api/admin/system/restart,src/bands/caduceus.rs,translation-debt,/api/admin/system/restart,,none
R003,POST,/admit/admin/action/restart-website,/api/admin/services/hard-reset,src/bands/caduceus.rs,translation-debt,/api/admin/services/hard-reset,,none
R004,POST,/admit/admin/action/rotate-capability-key,/usr/local/sbin/caduceus-keyman-rotate-capability,src/bands/caduceus.rs,translation-debt,,,none
R005,POST,/admit/admin/action/shutdown,/api/admin/system/shutdown,src/bands/caduceus.rs,translation-debt,/api/admin/system/shutdown,,none
R006,POST,/admit/admin/action/view-logs-clear,/api/v1/log/clear,src/bands/caduceus.rs,migrate-identity,,/api/v1/log/clear,proven direct target: /api/v1/log/clear via identity mapping
R007,POST,/admit/admin/toggle/samba-file-sharing,/api/admin/samba/service,src/bands/caduceus.rs,translation-debt,/api/admin/samba/service,,none
R008,POST,/admit/admin/toggle/ssh-password-authentication,/api/admin/ssh/toggle,src/bands/caduceus.rs,translation-debt,/api/admin/ssh/toggle,,candidate-only: current settings/ssh family (/api/v1/settings/ssh) is plausible; no target selected
R009,POST,/admit/admin/toggle/ssh-service,/api/admin/ssh/service,src/bands/caduceus.rs,translation-debt,/api/admin/ssh/service,,candidate-only: current settings/ssh family (/api/v1/settings/ssh) is plausible; no target selected
R010,POST,/api/admin/crypto/test,/api/admin/crypto/test,src/bands/full-rust-routes.rs,translation-debt,,,none
R011,POST,/api/admin/diskman/apply-permissions,/api/admin/diskman/apply-permissions,src/bands/full-rust-routes.rs,translation-debt,,,candidate-only: current storage/disk family (/api/v1/storage/disk/...) is plausible; no target selected
R012,POST,/api/admin/diskman/assign-nas,/api/admin/diskman/assign-nas,src/bands/full-rust-routes.rs,translation-debt,,,candidate-only: current storage/disk family (/api/v1/storage/disk/...) is plausible; no target selected
R013,POST,/api/admin/diskman/create-key,/api/admin/diskman/create-key,src/bands/full-rust-routes.rs,translation-debt,,,candidate-only: current storage/disk family (/api/v1/storage/disk/...) is plausible; no target selected
R014,POST,/api/admin/diskman/key-status,/api/admin/diskman/key-status,src/bands/full-rust-routes.rs,translation-debt,,,candidate-only: current storage/disk family (/api/v1/storage/disk/...) is plausible; no target selected
R015,POST,/api/admin/diskman/manage-services,/api/admin/diskman/manage-services,src/bands/full-rust-routes.rs,translation-debt,,,candidate-only: current storage/disk family (/api/v1/storage/disk/...) is plausible; no target selected
